GRIN Accession	Protein	GRIN Link
PI153265	38.6;39.9	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1136675	
PI153266	37.1;39.4	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1136676	
PI153267	39	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1136677	
PI153270	40.8;42.7	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1136680	
PI153271	39.2	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1136681	
PI153272	41.8;43.4	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1136682	
PI153273	41.8;43.5	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1136683	
PI153274	37.2	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1136684	
PI153275	41.3;42.9	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1136685	
PI153276	37.3	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1136686	
PI153277	41.1	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1136687	
PI153278	41.2;43.1	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1136688	
PI153279	36.9	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1136689	
PI153280	36.9;42.3	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1136690	
PI153281	44.3;46.1	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1136691	
PI153282	38.3	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1136692	
PI153283	37.2	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1136693	
PI153284	42.2;43.0	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1136694	
PI153285	39.6	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1136695	
PI153286	40.9;41.0	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1136696	
PI153287	38.4	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1136697	
PI153288	37.9	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1136698	
PI153289	37.9;41.8	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1136699	
PI153290	40.9	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1136700	
PI153291	38	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1136701	
PI153292	41.7	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1136702	
PI153293	51.1;52.0	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1136703	
PI153294	37	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1136704	
PI153296	52.9	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1136705	
PI153297	51	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1136706	
PI153299	43.1	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1136707	
PI153300	38.3	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1136708	
PI153301	48.9;50.8	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1136709	
PI153302	50.7;52.5	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1136710	
PI153303	45.2	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1136711	
PI153304	40.6;43.3	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1136712	
PI153305	40.1	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1136713	
PI153306	39.1;43.4	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1136714	
PI153308	37.6	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1136716	
PI153309	41.4;42.1	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1136717	
PI153310	38.1	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1136718	
PI153311	36.2	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1136719	
PI153313	39	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1136721	
PI153314	47	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1136722	
PI153315	38.9	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1136723	
PI153316	38.8	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1136724	
PI153317	44.2;45.8	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1136725	
PI153318	40.3	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1136726	
PI153319	38.9	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1136727	
PI153320	40.4	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1136728	
PI153321	43.6	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1136729	
PI153681	43.3;45.1	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1136768	
PI153682	45.9	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1136769	
PI154189	41.6	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1136941	
PI154190	43.8	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1136942	
PI154191	43.5	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1136943	
PI154192	42.3;43.6	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1136944	
PI154193	43.2	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1136945	
PI154194	41	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1136946	
PI154195	37.5	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1136947	
PI154196	49.4	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1136948	
PI154197	47.8	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1136949	
PI154198	45.6;46.0	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1136950	
PI154199	46.7	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1136951	
PI154200	47	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1136952	
PI157394	45.1;45.4	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1137841	
PI157395	44.5;44.6	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1137842	
PI157396	43.4;46.3	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1137843	
PI157397	42.9;44.2	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1137844	
PI157398	41.8;43.9	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1137845	
PI157401	41.1	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1137846	
PI157402	44.6	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1137847	
PI157404	43.1	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1137848	
PI157405	41.7	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1137849	
PI157406	44.6;46.9	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1137850	
PI157408	42.8	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1137851	
PI157409	42.8;43.8	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1137852	
PI157410	41.3;43.6	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1137853	
PI157413	45.8	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1137854	
PI157414	44.6;46.8	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1137855	
PI157416	41.5;41.6	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1137856	
PI157417	41.4;44.8	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1137857	
PI157419	42.3	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1137858	
PI157421	45.4	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1137859	
PI157422	45.7;47.4	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1137860	
PI157424	44.4	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1137861	
PI157428	42.2;42.6	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1137862	
PI157429	43.9;46.3	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1137863	
