Yen_Soy1066_format	Nick_Soy775_AccuTool_format	GRIN_Soybase_format	Name	Note	
SRR1533204	PI_549046	PI549046	PI549046		
SRR1533205	PI_464927A	PI464927A	PI464927A		
SRR1533206	PI_483465	PI483465	PI483465		
SRR1533207	PI_507662	PI507662	PI507662		
SRR1533208	ZJ-YJ038	ZJ-YJ038	UN102		
SRR1533209	PI_547831	PI547831	PI547831		
SRR1533210	PI_597459D	PI597459D	PI597459D		
SRR1533211	PI_597461A	PI597461A	PI597461A		
SRR1533212	PI_522226	PI522226	PI522226		
SRR1533213	ZJ-YJ086	ZJ-YJ086	UN113		
SRR1533214	PI_339734	PI339734	PI339734		
SRR1533216	PI_594615	PI594615	PI594615		
SRR1533217	Yu_Shi_Dou	Yu_Shi_Dou	UN3		
SRR1533218	PI_548445	PI548445	PI548445		
SRR1533219	You_Pi_Zhi_Hei_Dou	You_Pi_Zhi_Hei_Dou	UN4		
SRR1533220	PI_196166	PI196166	PI196166		
SRR1533221	PI_467343	PI467343	PI467343		
SRR1533222	Dong_Shan_Bai_Ma_Dou	Dong_Shan_Bai_Ma_Dou	UN8		
SRR1533224	Sha_Xin_Dou	Sha_Xin_Dou	UN9		
SRR1533225	Long_quan_Da_Dou	Long_quan_Da_Dou	UN11		
SRR1533226	PI_603384	PI603384	PI603384		
SRR1533227	Qing_Dou	Qing_Dou	UN13		
SRR1533228	Nan_Guan_Xiao_PI_Qing	Nan_Guan_Xiao_PI_Qing	UN14		
SRR1533229	PI_416971	PI416971	PI416971		
SRR1533230	PI_594777	PI594777	PI594777		
SRR1533231	PI_548342	PI548342	PI548342		
SRR1533232	PI_548485	PI548485	PI548485		
SRR1533233	Xia_Hei_Dou	Xia_Hei_Dou	UN19		
SRR1533234	PI_Xian_Da_Zi_Huo_Cao	PI_Xian_Da_Zi_Huo_Cao	UN21		
SRR1533235	PI_507355	PI507355	PI507355		
SRR1533236	PI_587552	PI587552	PI587552		
SRR1533237	Yu_Jiang_Wu_Yue_Niu_Mao_Huang	Yu_Jiang_Wu_Yue_Niu_Mao_Huang	UN22		
SRR1533238	Da_Li_Huang	Da_Li_Huang	UN23		
SRR1533239	PI_603336	PI603336	PI603336		
SRR1533240	PI_437321	PI437321	PI437321		
SRR1533241	PI_603596	PI603596	PI603596		
